name,address,place_id,ratings,opening_time,closing_time,type_food,latitude,longitude,university
Hotel Açores Lisboa,"Avenida Columbano Bordalo Pinheiro 3, Lisboa",ChIJARtc1hMzGQ0RxUk3X3J7Fmc,4.3,00:00,23:00,"parking, lodging, bar, restaurant, food, point_of_interest, establishment",38.7376165,-9.1598388,IMS,true
Sabor Mineiro Lisboa,"Avenida José Malhoa 16D, Lisboa",ChIJwUqMhBYzGQ0RJOy4BslZtXk,4.3,null,null,"restaurant, food, point_of_interest, establishment",38.73774499999999,-9.1645832,IMS,true
Eleven,"Rua Marquês Fronteira Jardim Amália Rodrigues, Parque Eduardo VII, Lisboa",ChIJ96p6xHIzGQ0RtYUUxlDMpT0,4.4,12:30,15:30,"restaurant, food, point_of_interest, establishment",38.7306914,-9.1558992,IMS,true
O Talho,"Rua Carlos Testa 1B, Lisboa",ChIJ0XVltgwzGQ0RsKYN2IQ8sw8,4.5,12:00,16:00,"restaurant, store, food, point_of_interest, establishment",38.733477,-9.152399999999998,IMS,true
Bubbly Lda,"Rua Marquês de Fronteira Nr 4 B, Lisboa",ChIJx_h8OmwzGQ0R4v1OSNbHLfY,no_rating,14:00,20:00,"restaurant, food, point_of_interest, establishment",38.7300114,-9.1578001,IMS,true
Chickinho Campolide,"Rua Marquês de Fronteira 117F, Lisboa",ChIJhWbDum0zGQ0RiLLwiWOA4lA,3.9,11:45,15:45,"restaurant, food, point_of_interest, establishment",38.7293029,-9.158638199999999,IMS,true
Estrela do Parque,"Rua Castilho 181, Lisboa",ChIJvUq1BXIzGQ0RO5nS24YFGjc,4,09:00,21:00,"restaurant, food, point_of_interest, establishment",38.72783759999999,-9.156239399999999,IMS,true
Hamburgueria do Bairro (São Sebastião),"Rua Ramalho Ortigão 47A, Lisboa",ChIJsa2MZBIzGQ0RJL-89nzaRB0,4.1,12:00,23:00,"restaurant, food, point_of_interest, establishment",38.73570050000001,-9.1575266,IMS,true
Weeel Frozen Yogurt,"Avenida António Augusto de Aguiar 31, Lisboa",ChIJ56fhMnMzGQ0Rv62UUJU7Emk,4.1,11:00,22:00,"store, restaurant, food, point_of_interest, establishment",38.7327496,-9.1532998,IMS,true
Meson de Tapas,"Avenida António Augusto de Aguiar 31, Lisboa",ChIJSQBJLXMzGQ0RdF-qbj_kFTc,4.2,12:00,22:00,"restaurant, point_of_interest, food, establishment",38.7333262,-9.153498299999999,IMS,true
Ground Burger,"Avenida António Augusto de Aguiar 148 A R/C, Lisboa",ChIJKTlfBg0zGQ0RoYtYESHnHGk,4.4,12:00,23:00,"restaurant, food, point_of_interest, establishment",38.735445,-9.154416099999999,IMS,true
Akla Restaurante,"Rua Castilho 149D, Lisboa",ChIJEfjDknEzGQ0Rodp6vlzhNxo,4.6,12:30,15:30,"restaurant, point_of_interest, food, establishment",38.7265349,-9.1553878,IMS,true
Rice ME,"Rua Carlos Testa 18A, Lisboa",ChIJH5RKyQwzGQ0RlxOx3eZow_k,4.3,12:00,15:00,"restaurant, food, point_of_interest, establishment",38.7335122,-9.1527965,IMS,true
Maizakura,"Avenida José Malhoa 14 r/c esquerta, Lisboa",ChIJaU6-HxQzGQ0RsX8PX8C0SSE,4.1,12:00,15:00,"restaurant, food, point_of_interest, establishment",38.73743839999999,-9.163611699999999,IMS,true
AronSushi,"Rua Marquês Sá da Bandeira 14B, Lisboa",ChIJ2RtVvAwzGQ0RYhqoLzpZMWA,4.5,12:30,15:30,"restaurant, food, point_of_interest, establishment",38.734267,-9.151964,IMS,true
